quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,avg_d_mbps,avg_u_mbps
1231221233333213,83906,65170,40,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",83.906,65.17
1231221233333312,2843,1214,32,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",2.843,1.214
1231221322133331,27038,1397,29,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",27.038,1.397
1231221322133333,105461,9721,27,3,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",105.461,9.721
1231221322201122,505,102,72,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.505,0.102
1231221322201202,22830,18851,48,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",22.83,18.851
1231221322201203,426079,9383,82,14,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",426.079,9.383
1231221322201221,47220,16389,233,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",47.22,16.389
1231221322202303,70452,863,31,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",70.452,0.863
1231221322202333,2375,845,34,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",2.375,0.845
1231221322203100,8305,15949,53,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",8.305,15.949
1231221322203201,328409,2578,25,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",328.409,2.578
1231221322203210,684,41,46,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.684,0.041
1231221322211213,710107,72050,29,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",710.107,72.05
1231221322211321,302236,36899,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",302.236,36.899
1231221322211323,346981,66439,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",346.981,66.439
1231221322212233,153147,16811,37,8,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",153.147,16.811
1231221322212322,139443,33221,37,5,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",139.443,33.221
1231221322213101,443197,62427,19,4,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",443.197,62.427
1231221322213111,46341,7069,59,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",46.341,7.069
1231221322213113,9432,71,127,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",9.432,0.071
1231221322220023,94417,14679,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",94.417,14.679
1231221322220333,12026,661,36,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",12.026,0.661
1231221322221033,191660,9062,30,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",191.66,9.062
1231221322221122,134816,910,38,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",134.816,0.91
1231221322221200,95,309,91,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.095,0.309
1231221322221203,6188,9991,151,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",6.188,9.991
1231221322221210,16079,6867,78,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",16.079,6.867
1231221322222113,82526,3510,70,10,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",82.526,3.51
1231221322222132,110235,1324,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",110.235,1.324
1231221322222211,27349,25750,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",27.349,25.75
1231221322223000,48631,21280,26,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",48.631,21.28
1231221322223002,76068,13589,23,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",76.068,13.589
1231221322223020,17,1477,36,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.017,1.477
1231221322223021,25475,1953,30,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",25.475,1.953
1231221322223113,11516,12708,27,5,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.516,12.708
1231221322223312,15888,25760,57,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",15.888,25.76
1231221322223313,325493,10620,24,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",325.493,10.62
1231221322223330,98891,16517,34,4,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",98.891,16.517
1231221322230100,181696,26753,32,3,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",181.696,26.753
1231221322230120,1676,388,52,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",1.676,0.388
1231221322230123,16185,18853,39,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",16.185,18.853
1231221322230210,6716,3212,25,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",6.716,3.212
1231221322230320,1319,216,47,4,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",1.319,0.216
1231221322231120,43333,6687,21,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",43.333,6.687
1231221322231133,4848,3980,21,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",4.848,3.98
1231221322231231,39,332,40,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.039,0.332
1231221322232030,4073,2868,50,4,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",4.073,2.868
1231221322232201,84414,1007,17,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",84.414,1.007
1231221322232303,938,3666,37,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.938,3.666
1231221322233123,71434,10344,24,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",71.434,10.344
1231221322233130,78003,3033,42,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",78.003,3.033
1231221322300023,13773,13325,63,8,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",13.773,13.325
1231221322300201,265240,16287,41,16,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",265.24,16.287
1231221322300300,11484,938,41,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.484,0.938
1231221322302000,33245,1921,30,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",33.245,1.921
1231221322302002,143245,12556,25,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",143.245,12.556
1231221322302032,661943,34422,29,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",661.943,34.422
1231221322302233,3272,6402,36,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",3.272,6.402
1231221322302323,254060,8303,39,4,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",254.06,8.303
1231221322303211,45670,46039,48,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",45.67,46.039
1231221322310030,36760,19325,30,6,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",36.76,19.325
1231221322310332,752,5371,28,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.752,5.371
1231221322311100,75090,11242,33,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",75.09,11.242
1231221322311102,11056,16295,27,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.056,16.295
1231221322311223,374286,17805,27,5,4,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",374.286,17.805
1231221322312000,255954,36197,19,4,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",255.954,36.197
1231221322312031,520686,1271,34,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",520.686,1.271
1231221322312232,57844,2269,32,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",57.844,2.269
1231221322312312,25794,9089,23,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",25.794,9.089
1231221322312313,246665,46197,31,5,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",246.665,46.197
1231221322313001,441926,30475,19,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",441.926,30.475
1231221322313011,7728,2394,40,10,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",7.728,2.394
1231221322320031,14102,176,47,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",14.102,0.176
1231221322320111,491,33,52,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",0.491,0.033
1231221322320212,11523,1280,80,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.523,1.28
1231221322320311,360327,66453,16,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",360.327,66.453
1231221322322030,11284,3660,24,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",11.284,3.66
1231221322322313,33099,12424,19,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",33.099,12.424
1231221322322332,2114,3200,37,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",2.114,3.2
1231221322323101,86313,38706,31,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",86.313,38.706
1231221322323112,617394,68173,33,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",617.394,68.173
1231221322323120,6666,420,21,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",6.666,0.42
1231221322323200,6382,5520,32,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",6.382,5.52
1231221322323303,151242,8554,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",151.242,8.554
1231221322323332,127346,15950,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",127.346,15.95
1231221322330012,154161,9712,48,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",154.161,9.712
1231221322330021,35366,8122,57,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",35.366,8.122
1231221322330023,215871,14620,27,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",215.871,14.62
1231221322330132,178271,1772,32,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",178.271,1.772
1231221322330133,347694,3182,29,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",347.694,3.182
1231221322330331,50880,8653,22,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",50.88,8.653
1231221322331003,511464,53345,22,15,4,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",511.464,53.345
1231221322331021,452934,60554,19,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",452.934,60.554
1231221322331123,32718,252,134,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",32.718,0.252
1231221322332022,9880,3417,20,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",9.88,3.417
1231221322332102,260664,8041,29,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",260.664,8.041
1231221322333301,520129,10686,85,3,3,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",520.129,10.686
1231221323200233,313604,53068,14,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",313.604,53.068
1231221323202121,69314,20540,42,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",69.314,20.54
1231221323202220,464341,4730,33,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",464.341,4.73
1231221323202333,292099,10635,32,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",292.099,10.635
1231221323203121,18768,7377,32,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",18.768,7.377
1231221323203300,15979,5038,49,2,2,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",15.979,5.038
1231221323213322,16399,6463,31,1,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",16.399,6.463
1231221323221223,12865,2463,56,2,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",12.865,2.463
1231221323222111,794675,43741,38,3,1,116,105,IND,India,12,Gujarat,117,Banas Kantha,District,District,,"Banaskantha, Palanpur",794.675,43.741
